name,email,company,website
230 Fifth Rooftop Bar,events@230-fifth.com,230 Fifth Rooftop Bar,http://www.230-fifth.com/
Eddie's Pizza,,Eddie's Pizza,
Isla & Co. - Midtown,user@domain.com,Isla & Co. - Midtown,http://www.isla-co.com/
Boucherie Union Square,"contact_Miami@boucherieus.com, petite@boucherie.nyc, westvillage@boucherie.nyc, contact_dc@boucherieus.com, unionsquare@boucherie.nyc, contact_chicago@boucherieus.com, pr@thegroup.nyc, lagrande@boucherie.nyc, contact@boucherie.nyc",Boucherie Union Square,https://www.boucherieus.com/
Manhatta,,Manhatta,https://www.manhattarestaurant.com/
The Landing,,The Landing,https://www.thelanding.nyc/?y_source=1_MzI0ODA0MDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
The Modern,,The Modern,https://www.themodernnyc.com/the-modern/
Gramercy Tavern,donations@ushgnyc.com,Gramercy Tavern,https://www.gramercytavern.com/
Sicily Osteria,,Sicily Osteria,http://sicilynyc.com/
Marea,"kbolyai@altamareagroup.com, info@marea-nyc.com",Marea,https://www.marearestaurant.com/new-york?utm_source=GoogleBusinessProfile&utm_medium=organic&utm_campaign=MapLabs
La Lanterna di Vittorio,lalanternanyc@gmail.com,La Lanterna di Vittorio,http://lalanterna.nyc/
La Grande Boucherie,"contact_Miami@boucherieus.com, petite@boucherie.nyc, westvillage@boucherie.nyc, contact_dc@boucherieus.com, unionsquare@boucherie.nyc, contact_chicago@boucherieus.com, pr@thegroup.nyc, lagrande@boucherie.nyc, contact@boucherie.nyc",La Grande Boucherie,https://www.boucherieus.com/
Altair Restaurant NYC,hello@altairnyc.com,Altair Restaurant NYC,https://www.altairnyc.com/
Lulla NYC,hello@lullanyc.com,Lulla NYC,http://www.lullanyc.com/
Le Bernardin,"arosenstein@le-bernardin.com, reservations@le-bernardin.com, gifts@le-bernardin.com, office@le-bernardin.com, humanresources@le-bernardin.com, kburroughs@le-bernardin.com",Le Bernardin,https://www.le-bernardin.com/home
Felice 56,felice56@felicerestaurants.com,Felice 56,https://www.felicerestaurants.com/felice-56/
The Terrace and Outdoor Gardens at the Times Square EDITION,terraceatedition@jfrestaurants.com,The Terrace and Outdoor Gardens at the Times Square EDITION,https://www.terraceatedition.com/?utm_medium=organic&utm_source=gmb
Buena Vista Restaurant & Bar,info@buenavistany.com,Buena Vista Restaurant & Bar,http://www.buenavistahellskitchen.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
STK Steakhouse,"EventsNY@togrp.com, eventsny@togrp.com, info@togrp.com",STK Steakhouse,https://stksteakhouse.com/venues/nyc-midtown/
Nizza,,Nizza,https://nizzanyc.com/
Mezcali,user@domain.com,Mezcali,https://www.mezcalinyc.com/
Le Coucou,"lecoucou.info@starr-restaurant.com, lecoucou.info@starr-restaurants.com, lecoucou.events@starr-restaurants.com, lecoucou.events@starr-restaurant.com, lecoucou.reservations@starr-restaurant.com, lecoucou.marketing@starr-restaurant.com, lecoucou.press@starr-restaurant.com, lecoucou.marketing@starr-restaurants.com, lecoucou.press@starr-restaurants.com",Le Coucou,https://www.lecoucou.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
Victory Sweet Shop/Victory Garden Cafe,info@victorysweetshop.com,Victory Sweet Shop/Victory Garden Cafe,https://victorysweetshop.com/garden-cafe/
ONE Dine at One World Observatory,"groups@oneworldobservatory.com, marketing@oneworldobservatory.com, owo@quinn.pr, info@www.oneworldobservatory.com, one@legends.net, concierge@oneworldobservatory.com, info@oneworldobservatory.com, donationrequest@oneworldobservatory.com",ONE Dine at One World Observatory,https://www.oneworldobservatory.com/bar-restaurant/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=places
The Consulate UWS,"contact@theconsulate.nyc, email@example.com, Jana@3dprmarketing.com",The Consulate UWS,http://theconsulate.nyc/
Carmine's - Time Square,,Carmine's - Time Square,https://carminesnyc.com/locations/times-square
1803 NYC,"1803nyc@gmail.com, email@example.com",1803 NYC,https://1803nyc.com/
Brooklyn Diner USA,,Brooklyn Diner USA,http://www.brooklyndiner.com/
abc kitchen,,abc kitchen,https://www.abckitchen.nyc/
Michael's New York,michaelsreceipt@gmail.com,Michael's New York,http://michaelsnewyork.com/
ROBERT,info@arkrestaurants.com,ROBERT,https://robertnyc.com/
La Masseria NY,info@lamasserianyc.com,La Masseria NY,http://www.lamasserianyc.com/
La Dong,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, info@mysite.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, c5095236fd2e4b8fae9ed6d73cdd81a3@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, reservation@ladongnyc.com, 7025fe2ce4ed466a9751d9607bc63a44@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 0c52cb89aa4d4154857a1584b6701db6@sentry.wixpress.com",La Dong,http://www.ladongnyc.com/
Sabai Thai,"user@domain.com, hospitality@sabairestaurant.com",Sabai Thai,https://www.sabaithai.nyc/
Craft New York,,Craft New York,http://www.craftrestaurant.com/
Vic's,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",Vic's,http://vicsnewyork.com/
Hearth,,Hearth,https://www.restauranthearth.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link
Per Se,,Per Se,https://www.thomaskeller.com/perseny
Cafeteria,,Cafeteria,http://www.cafeteriagroup.com/
Sultan Mediterranean Cuisine,sultan61nyc@gmail.com,Sultan Mediterranean Cuisine,http://www.sultannyc.com/
Upland,"upland.marketing@starr-restaurants.com, upland.events@starr-restaurant.com, upland.events@starr-restaurants.com, upland.marketing@starr-restaurant.com, upland.press@starr-restaurant.com, upland.info@starr-restaurant.com, upland.info@starr-restaurants.com, upland.press@starr-restaurants.com",Upland,https://uplandnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
Tucci New York City,,Tucci New York City,https://www.tuccinyc.com/
Masseria Dei Vini,info@masseriadeivini.com,Masseria Dei Vini,http://masseriadeivini.com/
Duomo51,reservations@fabiocucinaitaliana.com,Duomo51,http://www.duomo51.com/
Scalini Fedeli,reservations@fabiocucinaitaliana.com,Scalini Fedeli,http://www.duomo51.com/
L’Amore Restaurant,"laamore171@gmail.com, email@example.com",L’Amore Restaurant,https://lamoreristorante.com/
Schilling Restaurant & Bar,"460ff4620fa44cba8df530afde949785@sentry.wixpress.com, eat@schillingnyc.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io",Schilling Restaurant & Bar,https://www.schillingnyc.com/
CanteenM,"460ff4620fa44cba8df530afde949785@sentry.wixpress.com, eat@schillingnyc.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io",CanteenM,https://www.schillingnyc.com/
The Smith,"hr@ctrnyc.com, careers@ctrnyc.com",The Smith,https://thesmithrestaurant.com/location/nomad/
Atera,,Atera,http://www.ateranyc.com/
Chambers,user@domain.com,Chambers,http://chambers.nyc/
Giardino D'Oro,,Giardino D'Oro,http://www.giardinodoro.com/
The Odeon,,The Odeon,http://www.giardinodoro.com/
Joseph's Restaurant,gm@josephsnyc.com,Joseph's Restaurant,http://josephsnyc.com/
