Name,Rating,Reviews,Phone,Website,Email,Google Maps URL
230 Fifth Rooftop Bar,N/A,N/A,+1 212-725-4300,http://www.230-fifth.com/,events@230-fifth.com,https://www.google.com/maps/place/230+Fifth+Rooftop+Bar/data=!4m7!3m6!1s0x89c259a665325aff:0x3ac777522187cfd5!8m2!3d40.744108!4d-73.98882!16s%2Fm%2F0ghfk_j!19sChIJ_1oyZaZZwokR1c-HIVJ3xzo?authuser=0&hl=en&rclk=1
Eddie's Pizza,N/A,N/A,(516) 354-9780,N/A,N/A,https://www.google.com/maps/place/Eddie%27s+Pizza/data=!4m7!3m6!1s0x89c2881fceee09c9:0x488ca788df655da4!8m2!3d40.751103!4d-73.674833!16s%2Fg%2F1tp0919j!19sChIJyQnuzh-IwokRpF1l34injEg?authuser=0&hl=en&rclk=1
Isla & Co. - Midtown,N/A,N/A,+1 646-676-9373,http://www.isla-co.com/,user@domain.com,https://www.google.com/maps/place/Isla+%26+Co.+-+Midtown/data=!4m7!3m6!1s0x89c259d65aba8a21:0x4f459b846e6ea776!8m2!3d40.7517724!4d-73.984103!16s%2Fg%2F11r9tp60qb!19sChIJIYq6WtZZwokRdqduboSbRU8?authuser=0&hl=en&rclk=1
Boucherie Union Square,N/A,N/A,+1 212-353-0200,https://www.boucherieus.com/,"contact_Miami@boucherieus.com, petite@boucherie.nyc, westvillage@boucherie.nyc, contact_dc@boucherieus.com, unionsquare@boucherie.nyc, contact_chicago@boucherieus.com, pr@thegroup.nyc, lagrande@boucherie.nyc, contact@boucherie.nyc",https://www.google.com/maps/place/Boucherie+Union+Square/data=!4m7!3m6!1s0x89c259a1ec5f5573:0x2fc6687f46f682d5!8m2!3d40.7372552!4d-73.9882246!16s%2Fg%2F11hbv5rh0_!19sChIJc1Vf7KFZwokR1YL2Rn9oxi8?authuser=0&hl=en&rclk=1
Manhatta,N/A,N/A,+1 212-230-5788,https://www.manhattarestaurant.com/,,https://www.google.com/maps/place/Manhatta/data=!4m7!3m6!1s0x89c25bc797d635a1:0x60b055910436a0a4!8m2!3d40.7079974!4d-74.0088826!16s%2Fg%2F11gh9qhb9q!19sChIJoTXWl8dbwokRpKA2BJFVsGA?authuser=0&hl=en&rclk=1
The Landing,N/A,N/A,+1 917-764-3463,https://www.thelanding.nyc/?y_source=1_MzI0ODA0MDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,https://www.google.com/maps/place/The+Landing/data=!4m7!3m6!1s0x89c259bfc3e29bd5:0x71e84703e2c37e4c!8m2!3d40.7511917!4d-73.9921436!16s%2Fg%2F11rfmf22nl!19sChIJ1Zviw79ZwokRTH7D4gNH6HE?authuser=0&hl=en&rclk=1
The Modern,N/A,N/A,+1 212-333-1220,https://www.themodernnyc.com/the-modern/,,https://www.google.com/maps/place/The+Modern/data=!4m7!3m6!1s0x89c258fbc4a06f31:0xb0f62a18b16739cc!8m2!3d40.761081!4d-73.976753!16s%2Fm%2F05yj_8q!19sChIJMW-gxPtYwokRzDlnsRgq9rA?authuser=0&hl=en&rclk=1
Gramercy Tavern,N/A,N/A,+1 212-477-0777,https://www.gramercytavern.com/,donations@ushgnyc.com,https://www.google.com/maps/place/Gramercy+Tavern/data=!4m7!3m6!1s0x89c259a1820824bd:0x2b79dcdc251b8415!8m2!3d40.7384555!4d-73.9885064!16s%2Fm%2F020dmrk!19sChIJvSQIgqFZwokRFYQbJdzceSs?authuser=0&hl=en&rclk=1
Sicily Osteria,N/A,N/A,+1 646-609-3417,http://sicilynyc.com/,,https://www.google.com/maps/place/Sicily+Osteria/data=!4m7!3m6!1s0x89c25932322b79d3:0x7c085aeae6751161!8m2!3d40.7601601!4d-73.9891863!16s%2Fg%2F11rvby8wnq!19sChIJ03krMjJZwokRYRF15upaCHw?authuser=0&hl=en&rclk=1
Marea,N/A,N/A,+1 212-582-5100,https://www.marearestaurant.com/new-york?utm_source=GoogleBusinessProfile&utm_medium=organic&utm_campaign=MapLabs,"kbolyai@altamareagroup.com, info@marea-nyc.com",https://www.google.com/maps/place/Marea/data=!4m7!3m6!1s0x89c258f64b8364bd:0x1aa365dedf436f88!8m2!3d40.7674251!4d-73.9811137!16s%2Fm%2F0g9tbbd!19sChIJvWSDS_ZYwokRiG9D395loxo?authuser=0&hl=en&rclk=1
